Country Name,"Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (CHE) per capita in US$,GDP per capita (current US$),"International migrant stock, total",Net Migration,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Population, total",Population ages 0-14 (% of total population),Population density (people per sq. km of land area),Urban Population,Population living in slums (% of urban population),Poverty headcount ratio at national poverty lines (% of population)
Uzbekistan,71.725,24.3,4.6,2.5,96,98.57,1784.009816,1170899,-44314,13,3217,33580350,28.79781331,76.22283256,16935578,52.20000076,
St. Vincent and the Grenadines,72.534,14.087,9.336,5.6,97,,7460.153362,4577,-1000,,979,110593,22.19388908,283.5717949,58187,,
"Venezuela, RB",72.064,17.566,7.118,27.4,64,,,1404448,-3266243,67749,93239,28515829,27.40422521,32.32903917,25162368,44.09999847,
British Virgin Islands,,,,,,,,17308,,,,30033,,200.22,14451,,
Virgin Islands (U.S.),79.66829268,12.3,8.2,,,,38136.66576,56721,-2254,,,106669,19.49358374,304.7685714,102223,,
Vietnam,75.4,16.454,6.38,6.7,89,,2715.27598,72793,-399999,,316441,96462108,23.21382761,311.0978424,35332141,13.80000019,6.7
Vanuatu,70.474,29.175,5.197,9.3,90,104.3,3116.297759,3187,600,,,299882,38.71055949,24.60065628,76152,,
World,72.74713164,17.88751537,7.524270109,8.9,85.69095664,,11397.086,243192681,0,26044504,26044504,7683372259,25.63911068,59.12593051,4280190216,29.2361353,
Samoa,73.321,24.1,5.202,4.6,58,271.9,4322.868457,4929,-14013,,,197093,37.86409737,69.64416961,35587,,
Kosovo,72.49512195,15.6,6.9,,,,4416.108358,,,,,1788878,,,,,
"Yemen, Rep.",66.125,29.873,5.983,45.4,73,,,344131,-150000,268503,36522,29161922,39.22337492,55.23405118,10869523,66.19999695,
South Africa,64.131,20.129,9.398,6.5,77,546.7,6624.761865,3142511,727026,78395,441,58558267,28.96832505,48.27198889,39149715,25.60000038,
Zambia,63.886,35.776,6.321,,88,69.32,1305.001031,127915,-40000,57518,259,17861034,44.4625086,24.02646525,7871715,54.59999847,
Zimbabwe,61.49,29.747,7.773,,90,103,1316.740657,398866,-584288,8956,10045,14645473,42.15812701,37.85827323,4717307,33.5,
